S.No.,State,Blood Center,Address,District,Category,Phone,Email,Action
19,Andaman Nicobar,Anu Blood Center,"D.NO-161/2B & 161/2C,B1,NEAR D MART, ENIKAPADU VIJAYAWADA, Vijayawada, Dist. NTR",NTR,Private,8121553344,anubloodcentres@gmail.com,StockCamps
20,Andhra Pradesh,Apadbandhu Voluntary Blood Center Palakol,"D.No: 2-218/1, 1st floor, Lalitha Ganesh Complex, Near Bajaj Showroom, Bradipet Bypass, Palakol, West Godavari Dist., A.P., Palakol, Dist. West Godavari",West Godavari,Private,7816000234,apadbandhubloodcenter@gmail.com,StockCamps
21,Andhra Pradesh,Apollo Hospital Chinagadhili,"D.No.18-516/2/1, 3rd Floor, Health City, Arilova, DETTO, Chinagadhili, Dist. Visakhapatnam",Visakhapatnam,Private,9849949202,kunamukundarao@gmail.com,StockCamps
22,Andhra Pradesh,Apollo Speciality Hospitals Nellore,"16/111/1133, Muthukur Road, Pinakini Nagar, Nellore, Nellore, Dist. Sri Potti Sriramulu Nellore",Sri Potti Sriramulu Nellore,Private,7989523405,rajasekhar_m@apollohospitals.com,StockCamps
23,Andhra Pradesh,A.P. Voluntary Blood Centre,"11/136, 2nd floor, GVR Central Commericial Complex, Gudivada, Dist. Krishna",Krishna,Charitable/Vol,9985983983,apvbcgudivada@gmail.com,StockCamps
24,Andhra Pradesh,Area Hospital Blood Bank Tuni,"Govt Area Hospital Blood Bank, Tuni, East Godavari, Dist. Kakinada",Kakinada,Govt.,8854252333,tunibloodbank@yahoo.com,StockCamps
25,Andhra Pradesh,Area Hospital Blood Centre Amalapuram,"Area Hospital Blood Centre, Area Hospital (Government), GROUND FLOOR,AH,AMALAPURAM, Amalapuram, Dist. Konaseema",Konaseema,Govt.,9505152234,bloodbankahamp@gmail.com,StockCamps
26,Andhra Pradesh,Area Hospital Blood Centre Bapatla,"Area Hospital. 13th ward, Satyanarayanapuram, Bapatla, BAPATLA, Dist. Bapatla",Bapatla,Govt.,9989742355,bapatlabloodbank@gmail.com,StockCamps
27,Andhra Pradesh,Area Hospital Blood Centre Chirala,"Old building,room no-0,wood nahar,, Chirala, Dist. Bapatla",Bapatla,Govt.,8978358292,bloodbankchirala@gmail.com,StockCamps
28,Andhra Pradesh,Area Hospital Blood Centre Gudivada,"Area Hospital Premises, Ist Floor, Opp. Head Post office, Gudivada, Gudivada, Dist. Krishna",Krishna,Govt.,9885254371,areahospital.gudivada@gmail.com,StockCamps
29,Andhra Pradesh,Area Hospital Blood Centre Gudur,"Hospital Road, Gudur, Gudur, Dist. Tirupati",Tirupati,Govt.,8985750552,bbahgudur@gmail.com,StockCamps
30,Andhra Pradesh,Area Hospital Blood Centre Guntakal,"M/S APVVP Area Hospital Blood Center, Guntakal, Anantapuramu District, GUNTAKAL, Dist. Anantapur",Anantapur,Govt.,9160100310,bloodbankahgtl@gmail.com,StockCamps
31,Andhra Pradesh,Area Hospital Blood Centre Jangareddygudem,"C/o MNM AREA HOSPITAL, Jangareddygudem, Dist. Eluru",Eluru,Govt.,9490287612,Bloodbankahjrg@gmail.com,StockCamps
32,Andhra Pradesh,Area Hospital Blood Centre Kadiri,"APVVP Govt. Area Hospital, Ground Floor, Kadiri, Anantapur, Dist. Sri Sathya Sai",Sri Sathya Sai,Govt.,8985002811,bbahkadiri@gmail.com,StockCamps
33,Andhra Pradesh,Area Hospital Blood Centre Kandukur,"1st floor, near NTR statue, pamur road, kandukur, KANDUKURU, Dist. Sri Potti Sriramulu Nellore",Sri Potti Sriramulu Nellore,Govt.,9000592604,areahospitalbckandukur@gmail.com,StockCamps
34,Andhra Pradesh,Area Hospital Blood Centre Kavali,"Kavali, S.P.S.R, Nellore, Dist. Sri Potti Sriramulu Nellore",Sri Potti Sriramulu Nellore,Govt.,8328360573,areahospitalbloodcentrekavali@gmail.com,StockCamps
35,Andhra Pradesh,Area Hospital Blood Centre Kuppam,"Area Hospital, Near R B Building, Lakshmi Puram, Kuppam, Chittoor., KUPPAM, Dist. Chittoor",Chittoor,Govt.,9966916365,bloodcenterahkpm@gmail.com,StockCamps
36,Andhra Pradesh,Area Hospital Blood Centre Narasaraopeta,"Area Hospital Premises, First Floor, Palnadu Road, NARASARAOPET, Narasaraopet-1, Dist. Palnadu",Palnadu,Govt.,7993895983,nrtbloodbankircs@gmail.com,StockCamps
37,Andhra Pradesh,Area Hospital Blood Centre Narsipatnam,"Area Hospital Narsipatnam, Near Police Station,Chintapalli road, Narsipatnam, Dist. Anakapalli",Anakapalli,Govt.,9618473874,ahnrpmbloodcenter@gmail.com,StockCamps
38,Andhra Pradesh,Area Hospital Blood Centre Palakonda,"Room no 42, 1st floor, Area Hospital, Palakonda, PALAKONDA, Dist. Parvathipuram Manyam",Parvathipuram Manyam,Govt.,9848277311,bloodcentreahpalakonda@gmail.com,StockCamps
39,Andhra Pradesh,Area Hospital Blood Centre Ramachandrapuram,"AH Ramachandrapuram, Konaseema District, Andhra Pradesh, RAMACHANDRAPURAM, Dist. Konaseema",Konaseema,Govt.,9848257592,ah_rcpm@yahoo.co.in,StockCamps
40,Andhra Pradesh,Area Hospital Blood Centre Rampachodavaram,"Area hospital rampachodavaram, Rampachodavaram, Dist. Alluri Sitharama Raju",Alluri Sitharama Raju,Govt.,9493052941,chc.rampachodavaram@gmail.com,StockCamps
41,Andhra Pradesh,Area Hospital Blood Centre Tadepalligudem,"1st floor, OP Block, Area Hospital Tadepalligudem, West Godavari, Tadepalligudem, Dist. West Godavari",West Godavari,Govt.,9700123885,govtbloodcentretadepalligudem@gmail.com,StockCamps
42,Andhra Pradesh,Aruna Blood Bank,"Sbi bazar branch building, 2nd floor Ramanaidupeta machilipatnam , Machilipatnam, Dist. Krishna",Krishna,Charitable/Vol,9989715552,Rajkumar.rayana@gmail.com,StockCamps
43,Andhra Pradesh,A.S.N. Raju Charitable Trust Blood Centre,"24-1-1, RKPLAZA, JP ROAD, BHIMAVARAM, BHIMAVARAM, Bhimavaram, Dist. West Godavari",West Godavari,Charitable/Vol,9666001234,asnrajucharitabletrust@gmail.com,StockCamps
44,Andhra Pradesh,As Raja Voluntary Blood Centre,"D.No. 10-50-11/5, 1st Floor, Virasi Centre, Waltair Main Road, Visakhapatnam, Dist. Visakhapatnam",Visakhapatnam,Charitable/Vol,9849792925,asrajavbloodbank@gmail.com,StockCamps
45,Andhra Pradesh,Aswini Hospital Blood Centre,"Ground Floor, Aswini Hospital Premises, TTD, Tirumala, Dist. Tirupati",Tirupati,Private,9000497028,bbahttdtml@gmail.com,StockCamps
46,Andhra Pradesh,Blood Centre Central Hospital Ttd Tirupati,"BIRRD (T) Hospital, First Floor, KT Road, Tirupati, Dist. Tirupati",Tirupati,Charitable/Vol,9849835530,ttdcentralhospital@gmail.com,StockCamps
47,Andhra Pradesh,Bobbili Blood Centre,"D.NO-11-65&66,1ST FLOOR,VYSHNAV STREET,BOBBILI,VZM , Bobbili, Dist. Vizianagaram",Vizianagaram,Charitable/Vol,9949456286,bobbilibloodcentre@gmail.com,StockCamps
48,Andhra Pradesh,Boga Parvathamma Memorial Donation Service Organisation,"D.No.3/217-218, st Floor Chriestian Line East , Revenue ward -3 YSR, Kadapa, Dist. Y.S.R.",Y.S.R.,Private,9246398893,bogaparvathamma@yahoo.com,StockCamps
49,Andhra Pradesh,Bruhada Blood Center,"21-648-1, 2ND FLOOR, PRASAD TOWERS, OLD MUNICIPAL OFFICE ROAD, OPP RAMESH THEATRE, KADAPA, Kadapa, Dist. Y.S.R.",Y.S.R.,Private,9177791860,Bruhadabloodbank@gmail.com,StockCamps
50,Andhra Pradesh,Bsu Ah Aganampudi,"Aganampudi, AGANAMPUDI, Dist. Visakhapatnam",Visakhapatnam,Govt.,8374299083,office.chcaganampudi@gmail.com,StockCamps
51,Andhra Pradesh,Bsu Ah Araku Valley,"Arakuvally, Araku valley, Dist. Alluri Sitharama Raju",Alluri Sitharama Raju,Govt.,9440932514,aharakuvalley@gmail.com,StockCamps
52,Andhra Pradesh,Bsu Ah Banaganapalli,"Banaganapalli, BANAGANAPALLI, Dist. Nandyal",Nandyal,Govt.,9985538166,chcbpalli86@gmail.com,StockCamps
53,Andhra Pradesh,Bsu Ah Bhimavaram,"Bhimavaram, BHIMAVARAM, Dist. West Godavari",West Godavari,Govt.,9391954189,csschcbvrm@yahoo.com,StockCamps
54,Andhra Pradesh,Bsu Ah Cheepurupalli,"Cheepurupalli, CHEEPURPALLI, Dist. Vizianagaram",Vizianagaram,Govt.,7989756050,chcchepurupalli@gmail.com,StockCamps
55,Andhra Pradesh,Bsu Ah Chilakaluripeta,"Chilakaluripeta, CHILAKALURIPET, Dist. Palnadu",Palnadu,Govt.,9177362278,mochpeta@gmail.com,StockCamps
56,Andhra Pradesh,Bsu Ah Chintalapudi,"Chintalapudi, CHINTALAPUDI, Dist. Eluru",Eluru,Govt.,9110321360,praharshini689@gmail.com,StockCamps
57,Andhra Pradesh,Bsu Ah Chintapalli,"Chintapalli, CHINTAPALLI, Dist. Alluri Sitharama Raju",Alluri Sitharama Raju,Govt.,8639253110,mochcchintapalli@gmail.com,StockCamps
58,Andhra Pradesh,Bsu Ah Dharmavaram,"Dharmavaram, DHARMAVARAM, Dist. Sri Sathya Sai",Sri Sathya Sai,Govt.,7569955142,areahospital.dharmavaram@gmail.com,StockCamps
59,Andhra Pradesh,Bsu Ah Dhone,"Dhone, Dhone, Dist. Nandyal",Nandyal,Govt.,9866112537,chcdhone@gmail.com,StockCamps
60,Andhra Pradesh,Bsu Ah Gajapathinagaram,"Gajapathipatnam, GAJAPATHINAGARAM, Dist. Vizianagaram",Vizianagaram,Govt.,9731825183,ddochcgpnagaram@gmail.com,StockCamps
61,Andhra Pradesh,Bsu Ah Giddaluru,"PR COLONY , Giddalur , Giddaluru, Dist. Prakasam",Prakasam,Govt.,8500615491,chcgiddaluru@yahu.com,StockCamps
62,Andhra Pradesh,Bsu Ah Jammalamadugu,"Kadapa, JAMMALAMADUGU, Dist. Y.S.R.",Y.S.R.,Govt.,6381994916,ircsbscjmd881@gmail.com,StockCamps
63,Andhra Pradesh,Bsu Ah Madakasira,"Madakasira, MADAKASIRA, Dist. Sri Sathya Sai",Sri Sathya Sai,Govt.,9491420599,chcmadakasira123@gmail.com,StockCamps
64,Andhra Pradesh,Bsu Ah Nagari,"Nagari, Nagari, Dist. Chittoor",Chittoor,Govt.,7893294995,dshareahospitalnagari@gmail.com,StockCamps
65,Andhra Pradesh,Bsu Ah Nandigama,"GOVT HOSPITAL , NANDIGAMA N.T.R DT, NANDIGAM, Dist. NTR",NTR,Govt.,7675824724,monandigama@gmail.com,StockCamps
66,Andhra Pradesh,Bsu Ah Narasapuram,"narasapuram, Narasapuram, Dist. West Godavari",West Godavari,Govt.,9573847273,ahnarasapuram@gmail.com,StockCamps
67,Andhra Pradesh,Bsu Ah Narsannapeta,"Narsannapeta, Narasannapeta, Dist. Srikakulam",Srikakulam,Govt.,9963393979,narasannapetachc@gmail.com,StockCamps
68,Andhra Pradesh,Bsu Ah Nuzividu,"Nuzividu, NUZVIDU, Dist. Eluru",Eluru,Govt.,8008333529,monuziveedu@gmail.com,StockCamps
69,Andhra Pradesh,Bsu Ah Palakollu,"Palakollu, AREA HOSPITAL,BLOOD STORAGE UNIT , PALAKOL, Dist. West Godavari",West Godavari,Govt.,9704751819,bsc.palakol@gmail.com,StockCamps
70,Andhra Pradesh,Bsu Ah Palamaneru,"Palamaneru, PALAMANERU, Dist. Chittoor",Chittoor,Govt.,9493586812,areahospitalpalamaner@yahoo.co.in,StockCamps
71,Andhra Pradesh,Bsu Ah Pileru,"Pileru, PILER, Dist. Annamayya",Annamayya,Govt.,9966916365,mochcpileru@gmail.com,StockCamps
72,Andhra Pradesh,Bsu Ah Punganur,"Punaganur, PUNGANUR, Dist. Chittoor",Chittoor,Govt.,8498890364,mochcpunganur@gmail.com,StockCamps
73,Andhra Pradesh,Bsu Ah Rajam,"Rajam., Rajam, Dist. Vizianagaram",Vizianagaram,Govt.,9052060499,chcrajam@gmail.com,StockCamps
74,Andhra Pradesh,Bsu Ah Rajampet,"Rajampeta, RAJAMPET, Dist. Annamayya",Annamayya,Govt.,9490151211,Ahrajampet@gmail.com,StockCamps
75,Andhra Pradesh,Bsu Ah Rayachoti,"Rayachoti, RAYACHOTI, Dist. Annamayya",Annamayya,Govt.,9502312570,bsc.chc.rayachoty@gmail.com,StockCamps
76,Andhra Pradesh,Bsu Ah Rayadurgam,"Rayadurgam, RAYADURGAM, Dist. Anantapur",Anantapur,Govt.,7799589414,bscrayadurg@gmail.com,StockCamps
77,Andhra Pradesh,Bsu Ah Saluru,"Saluru, SALURU, Dist. Parvathipuram Manyam",Parvathipuram Manyam,Govt.,9963605601,chcsaluru@yahoo.com,StockCamps
78,Andhra Pradesh,Bsu Ah Sattenapalli,"Sattenapalli, SATTENAPALLI, Dist. Palnadu",Palnadu,Govt.,8074765106,bsc.sattenapalli@gmail.com,StockCamps
79,Andhra Pradesh,Bsu Ah Seethampeta,"Seethampeta, Seethampeta, Dist. Parvathipuram Manyam",Parvathipuram Manyam,Govt.,9652679484,seethampetachc@gmail.com,StockCamps
80,Andhra Pradesh,Bsu Ah S. Kota,"S Kota, S.KOTA, Dist. Vizianagaram",Vizianagaram,Govt.,7731028018,chcskota@gmail.com,StockCamps
81,Andhra Pradesh,Bsu Ah Srikalahasti,"Srikalahasti, SRIKALAHASTHI, Dist. Tirupati",Tirupati,Govt.,7995400298,areahospitalsrikalahasthi@yahoo.co.in,StockCamps
82,Andhra Pradesh,Bsu Ah Tadipatri,"Tadipatri, TADIPATRI, Dist. Anantapur",Anantapur,Govt.,8008553754,chctadipatri@gmail.com,StockCamps
83,Andhra Pradesh,Bsu Ah Yemmiganuru,"Yemmiiganur, YEMMIGANURU, Dist. Kurnool",Kurnool,Govt.,9866736203,ahYemmiganur@gmail.com,StockCamps
84,Andhra Pradesh,Bsu Ah Yerragondapalem,"Yerragondapalem, YERRAGONDAPALEM, Dist. Prakasam",Prakasam,Govt.,9491332725,mchongolrbsc1@gmail.com,StockCamps
85,Andhra Pradesh,Bsu Andhra Hospital,"Governerpeta, Governerpeta, Dist. NTR",NTR,Private,9290310063,ahbvpbb@gmail.com,StockCamps
86,Andhra Pradesh,Bsu Chc Achanta,"Achanta, Achanta, Dist. West Godavari",West Godavari,Govt.,9963331155,chcbsuachanta@gmail.com,StockCamps
87,Andhra Pradesh,Bsu Chc Addanki,"Addanki, Addanki, Dist. Bapatla",Bapatla,Govt.,7569755659,apvchcadk@gmail.com,StockCamps
88,Andhra Pradesh,Bsu Chc Addatheegala,"Addatheegala, ADDATHEEGALA, Dist. Alluri Sitharama Raju",Alluri Sitharama Raju,Govt.,8919913204,mochcaddateegala@gmail.com,StockCamps
89,Andhra Pradesh,Bsu Chc Akividu,"Akividu, Akividu, Dist. West Godavari",West Godavari,Govt.,9491736550,moakividu@gmail.com,StockCamps
90,Andhra Pradesh,Bsu Chc Alamuru,"Alamuru, Alamur, Dist. Konaseema",Konaseema,Govt.,8179333363,chcalamuru@gmail.com,StockCamps
91,Andhra Pradesh,Bsu Chc Allagadda,"Allagadda, ALLAGADDA, Dist. Nandyal",Nandyal,Govt.,8297898972,chcallagadda4@gmail.com,StockCamps
92,Andhra Pradesh,Bsu Chc Allavaram,"Allavaram, Allavaram, Dist. Konaseema",Konaseema,Govt.,7702236863,chcallavaram123@gmail.com,StockCamps
93,Andhra Pradesh,Bsu Chc Allur,"Allur, Allur, Dist. Sri Potti Sriramulu Nellore",Sri Potti Sriramulu Nellore,Govt.,9493381432,chcallur2@gmail.com,StockCamps
94,Andhra Pradesh,Bsu Chc Alur,"Alur, ALUR, Dist. Kurnool",Kurnool,Govt.,9346014410,chcalur@gmail.com,StockCamps
95,Andhra Pradesh,Bsu Chc Amaravathi,"Amaravathi, Amaravathi, Dist. Palnadu",Palnadu,Govt.,9848363931,moamaravathi@yahoo.com,StockCamps
96,Andhra Pradesh,Bsu Chc Atmakur,"atmakuru , ATMAKUR, Dist. Nandyal",Nandyal,Govt.,9440915017,chcatmakur1@gmail. com,StockCamps
97,Andhra Pradesh,Bsu Chc Avanigadda,"The Community Health Centre at Area Hospital, AVVANIGADDA,Krishna Dist, Avvanigadda, Dist. Krishna",Krishna,Govt.,8978892420,moavanigadda@gmail.com,StockCamps
98,Andhra Pradesh,Bsu Chc Badangi,"Badangi, Badangi, Dist. Vizianagaram",Vizianagaram,Govt.,8897288887,mobadangi@gmail.com,StockCamps
99,Andhra Pradesh,Bsu Chc Badvel,"Badvel, BADVEL, Dist. Y.S.R.",Y.S.R.,Govt.,7893435783,chcbadvel@gmail.com,StockCamps
100,Andhra Pradesh,Bsu Chc Bheemunipatnam,"Bheemunipatnam, Bheemunipatnam, Dist. Visakhapatnam",Visakhapatnam,Govt.,9704236699,chcbheemunipatnam@gmail.com,StockCamps
101,Andhra Pradesh,Bsu Chc Bhimadolu,"Bhimadolu, BHIMADOLE, Dist. Eluru",Eluru,Govt.,8555823132,mobhimadole@gmail.com,StockCamps
102,Andhra Pradesh,Bsu Chc Bhogapuram,"Bhogapuram, BHOGAPURAM, Dist. Vizianagaram",Vizianagaram,Govt.,8106105164,chcbhogapuram@gmail.com,StockCamps
103,Andhra Pradesh,Bsu Chc Bobbili,"BOBBILI, bobbili, Dist. Vizianagaram",Vizianagaram,Govt.,9440592284,bblmochc@gmail.com,StockCamps
104,Andhra Pradesh,Bsu Chc Buchireddypalem,"Buchireddypalem, Buchireddypalem, Dist. Sri Potti Sriramulu Nellore",Sri Potti Sriramulu Nellore,Govt.,9493325632,chcbuchireddypalem@gmail.com,StockCamps
105,Andhra Pradesh,Bsu Chc Budithi,"Budithi, Srkakulam(Rural), Dist. Srikakulam",Srikakulam,Govt.,9704105970,budithichc@gmail.com,StockCamps
106,Andhra Pradesh,Bsu Chc Buttaigudem,"Buttaigudem, Buttaigudem, Dist. Eluru",Eluru,Govt.,9398633459,chcbtg@gmail.com,StockCamps
107,Andhra Pradesh,Bsu Chc Challapalli,"Challapalli, Gudivada, Dist. Krishna",Krishna,Govt.,7989097770,chcchallapalli01@gmail.com,StockCamps
108,Andhra Pradesh,Bsu Chc Chimakurthy,"CHC CHIMAKURTHY, Prakasam District, Chimakurthy, Dist. Prakasam",Prakasam,Govt.,9391447566,apvchcchimakurthy@gmail.com,StockCamps
109,Andhra Pradesh,Bsu Chc Chinnemergani,"Chinnamegani, Chinnemergani, Dist. Parvathipuram Manyam",Parvathipuram Manyam,Govt.,9491793908,chcchinamerangi@email.com,StockCamps
110,Andhra Pradesh,Bsu Chc Chinturu,"Chinturu, Chintoor , Dist. Alluri Sitharama Raju",Alluri Sitharama Raju,Govt.,9949756081,ahchintoor@gmail.com,StockCamps
111,Andhra Pradesh,Bsu Chc Chodavaram,"Chodavaram, Chodavaram, Dist. Anakapalli",Anakapalli,Govt.,9493426494,mo.chc.cdvm@gmail.com,StockCamps
112,Andhra Pradesh,Bsu Chc Darsi,"Darsi, DARASI, Dist. Prakasam",Prakasam,Govt.,8520009645,mschcdarsichc@gmail.com,StockCamps
113,Andhra Pradesh,Bsu Chc Denduluru,"Denduluru, Eluru, Dist. Eluru",Eluru,Govt.,9490240316,modenduluru@gmail.com,StockCamps
114,Andhra Pradesh,Bsu Chc Dornala,"Dornala, Dornala, Dist. Prakasam",Prakasam,Govt.,9885109722,apvchcpdornala@gmail.com,StockCamps
115,Andhra Pradesh,Bsu Chc Gokavaram,"Gokavaram, Gokavaram, Dist. East Godavari",East Godavari,Govt.,7989627021,gokavaramchc@gmail.com,StockCamps
116,Andhra Pradesh,Bsu Chc Gooty,"Gooty, GOOTY, Dist. Anantapur",Anantapur,Govt.,9490130357,bloodstoragecenter.gooty@gmail.com,StockCamps
117,Andhra Pradesh,Bsu Chc Gopalapatnam,"Gopalapatnam, Visakhapatnam, Gopalapatnam, Dist. Visakhapatnam",Visakhapatnam,Govt.,7095252627,chcgopalapatnam@gmail.com,StockCamps
118,Andhra Pradesh,Bsu Chc Gopalapuram,"Gopalapuram, Gopalapuram, Dist. East Godavari",East Godavari,Govt.,9666148312,chcgopalapuram@gmail.com,StockCamps
119,Andhra Pradesh,Bsu Chc Gurazala,"Gurazala, Gurazala, Dist. Palnadu",Palnadu,Govt.,7993861416,gntchcgurazala99@gmail.com,StockCamps
120,Andhra Pradesh,Bsu Chc Haripuram,"Haripuram, Haripuram, Dist. Srikakulam",Srikakulam,Govt.,9440487263,haripuramchc@gmail.com,StockCamps
121,Andhra Pradesh,Bsu Chc Ichapuram,"Itchapuram, Srkakulam (Rural), Dist. Srikakulam",Srikakulam,Govt.,9177566588,chcichapuram@gmail.com,StockCamps
122,Andhra Pradesh,Bsu Chc Indukurpet,"Indukurpet, Indukurpet, Dist. Sri Potti Sriramulu Nellore",Sri Potti Sriramulu Nellore,Govt.,9885050449,chcindukurpetnew@gmail.com,StockCamps
123,Andhra Pradesh,Bsu Chc Jaggaiahpet,"Jaggaiahpet, JAGGAIAHPET, Dist. NTR",NTR,Govt.,9573678840,jaggaiahpetachc@gmail.com,StockCamps
124,Andhra Pradesh,Bsu Chc Kadiyam,"Kadiyam, Kadiyam, Dist. East Godavari",East Godavari,Govt.,9848965198,chnckadiyam@gmail.com,StockCamps
125,Andhra Pradesh,Bsu Chc Kaikaluru,"Kaikauluru, KAIKALURU, Dist. Eluru",Eluru,Govt.,9985548874,phckaikaluru333mo@gmail.com,StockCamps
126,Andhra Pradesh,BSU Chc Kalyandurg,"Kalyandurg, Rayadurgam road, KALYANADURG, Dist. Anantapur",Anantapur,Govt.,7799677930,bscchckld@gmail.com,StockCamps
127,Andhra Pradesh,Bsu Chc Kanigiri,"Kanigiri, KANIGIRI, Dist. Prakasam",Prakasam,Govt.,9985494786,chckanigiri@gmail.com,StockCamps
128,Andhra Pradesh,Bsu Chc Kankipadu,"Kankipadu, KANKIPADU, Dist. Krishna",Krishna,Govt.,6300942433,chckankipadu01@gmail.com,StockCamps
129,Andhra Pradesh,Bsu Chc Kapileswapuram,"Kapileswapuram, Kapileswapuram, Dist. Konaseema",Konaseema,Govt.,7989165791,chckapileswarapuram@gmail.com,StockCamps
130,Andhra Pradesh,Bsu Chc Kaviti,"Kaviti, KAVITI, Dist. Srikakulam",Srikakulam,Govt.,9550398893,kavitichc@gmail.com,StockCamps
131,Andhra Pradesh,BSU CHC K Kotapadu,"Kotapadu, KOTAPADU, Dist. Anakapalli",Anakapalli,Govt.,6281528856,chckotapadu2020@gmail.com,StockCamps
132,Andhra Pradesh,Bsu Chc Kodumuru,"Kodumuru, KODUMUR, Dist. Kurnool",Kurnool,Govt.,7981424865,chckodumur8@gmail.com,StockCamps
133,Andhra Pradesh,Bsu Chc Koilakuntla,"Koilakuntala, KOILKUNTLA, Dist. Nandyal",Nandyal,Govt.,9705650773,chckoilkuntla@gmail.com,StockCamps
134,Andhra Pradesh,Bsu Chc Kota.,"Kota, Kota, Dist. Tirupati",Tirupati,Govt.,9704586898,chckota960@gmail.com,StockCamps
135,Andhra Pradesh,Bsu Chc Kotauratla,"kotauratla, koutaratla, Dist. Anakapalli",Anakapalli,Govt.,8825805299,dcskotauatla@gmail.com,StockCamps
